,Id,review,token_review,token_review_lemm
0,0,Yet another complaint  HP Smart Printer software Its  fit  purpose Ive wasted days going around  circles   printer  refuses  enable printing services    activated however  cant obtain  pairing code  activate itEventually got   HP support  said  printer   dedicated team thats  bad sign    30 minutes  hold I eventually got   someone  said everyone  busy  theyd call  back That  2 days ago  counting The printers   fit  purpose    looks    know    well   burying  head   sand HP   discrace,Yet another complaint  HP Smart Printer software Its  fit  purpose Ive wasted days going around  circles   printer  refuses  enable printing services    activated however  cant obtain  pairing code  activate itEventually got   HP support  said  printer   dedicated team thats  bad sign    30 minutes  hold I eventually got   someone  said everyone  busy  theyd call  back That  2 days ago  counting The printers   fit  purpose    looks    know    well   burying  head   sand HP   discrace,yet another complaint hp smart printer software fit purpose wasted days going around circles printer refuses enable printing services activated however obtain pairing code activate iteventually got hp support said printer dedicated team bad sign 30 minutes hold eventually got someone said everyone busy would call back 2 days ago counting printers fit purpose looks know well burying head sand hp discrace
1,1,HP MFP 4101fdwe DO NOT PURCHASEThis product   connect   HP Smart app   connect   internet  customer support  hung     10 times without answering  calls Edit someone called  back  spoke     hour    solve  problem  offer  potential solutions Does  revise upward  rating,HP MFP 4101fdwe DO NOT PURCHASEThis product   connect   HP Smart app   connect   internet  customer support  hung     10 times without answering  calls Edit someone called  back  spoke     hour    solve  problem  offer  potential solutions Does  revise upward  rating,hp mfp 4101fdwe purchasethis product connect hp smart app connect internet customer support hung 10 times without answering calls edit someone called back spoke hour solve problem offer potential solutions revise upward rating
2,2,2 Broken printers  manifacture 5 hours  time wasted The  offer refurbished printers  replace  existing one even    week old Instant ink  also  poorSends  new one   old  depleted   could  half full Aweful experieance     computer tech,2 Broken printers  manifacture 5 hours  time wasted The  offer refurbished printers  replace  existing one even    week old Instant ink  also  poorSends  new one   old  depleted   could  half full Aweful experieance     computer tech,2 broken printers manifacture 5 hours time wasted offer refurbished printers replace existing one even week old instant ink also poorsends new one old depleted could half full aweful experieance computer tech
3,3,Following    last review case  accelerated Contacted  customer service   incredible Great outcome despite  stressful days  trying  sort   issue New cartridge sent  arrived Thank ,Following    last review case  accelerated Contacted  customer service   incredible Great outcome despite  stressful days  trying  sort   issue New cartridge sent  arrived Thank ,following last review case accelerated contacted customer service incredible great outcome despite stressful days trying sort issue new cartridge sent arrived thank
4,4,I  bought onsite support My laptop   start  I contacted HP support They ordered  UPS pickup  onsite support UPS arrived      collection box They said  would  back  2 working days later   UPS I  since tried every option available   HP website  support email     way  contact    I get  circular process  ends   way  complain  communicate   way Complete rubbish support,I  bought onsite support My laptop   start  I contacted HP support They ordered  UPS pickup  onsite support UPS arrived      collection box They said  would  back  2 working days later   UPS I  since tried every option available   HP website  support email     way  contact    I get  circular process  ends   way  complain  communicate   way Complete rubbish support,bought onsite support laptop start contacted hp support ordered ups pickup onsite support ups arrived collection box said would back 2 working days later ups since tried every option available hp website support email way contact get circular process ends way complain communicate way complete rubbish support
5,5,Thanks   hp desktop Printer  hp laptop I found   budget price easy  function zero serviceability good looking compact availability  cartridge laptop   good one,Thanks   hp desktop Printer  hp laptop I found   budget price easy  function zero serviceability good looking compact availability  cartridge laptop   good one,thanks hp desktop printer hp laptop found budget price easy function zero serviceability good looking compact availability cartridge laptop good one
6,6,It  slow  hell I mean I wouldve understand    wasnt working high functioning tools like ae  genshin impact    thing But bro settings Even settings  lagging   think  laptop  workI wanted    night light  whenever Im touching  night light   chosen    opening even  whole setting app   froze,It  slow  hell I mean I wouldve understand    wasnt working high functioning tools like ae  genshin impact    thing But bro settings Even settings  lagging   think  laptop  workI wanted    night light  whenever Im touching  night light   chosen    opening even  whole setting app   froze,slow hell mean would understand working high functioning tools like ae genshin impact thing bro settings even settings lagging think laptop worki wanted night light whenever touching night light chosen opening even whole setting app froze
7,7,Bought  HP Envy X360 laptop  October 2021 The laptop   light useage   still   condition   purchased excellent apart   hinge  holds  screen   base  broken Was told   would cost £440  fix  hinge     premium product The cost   premium parts Obvious  premium parts used   first place   isnt fit  purpose I would  recommend HP    sales service  pants Never    bad service    premium product HPs words  mine,Bought  HP Envy X360 laptop  October 2021 The laptop   light useage   still   condition   purchased excellent apart   hinge  holds  screen   base  broken Was told   would cost £440  fix  hinge     premium product The cost   premium parts Obvious  premium parts used   first place   isnt fit  purpose I would  recommend HP    sales service  pants Never    bad service    premium product HPs words  mine,bought hp envy x360 laptop october 2021 laptop light useage still condition purchased excellent apart hinge holds screen base broken told would cost 440 fix hinge premium product cost premium parts obvious premium parts used first place fit purpose would recommend hp sales service pants never bad service premium product hps words mine
8,8,Continous issues  printer since orignal purchase multiple attempts  contact  resolve issue   resolves Waste  money  waste  time,Continous issues  printer since orignal purchase multiple attempts  contact  resolve issue   resolves Waste  money  waste  time,continous issues printer since orignal purchase multiple attempts contact resolve issue resolves waste money waste time
9,9,My HP Omen desktop  delivered   defect After appr 6 month  repairing process I   able  support Omen  HP anymore   reparation loops  issue  tackled many times I cancelled  contract   failed repairing process     response  HP  Omen Really bad customer experience   desktop 2500 EUR I would recommend everyone  buying  HP Omen,My HP Omen desktop  delivered   defect After appr 6 month  repairing process I   able  support Omen  HP anymore   reparation loops  issue  tackled many times I cancelled  contract   failed repairing process     response  HP  Omen Really bad customer experience   desktop 2500 EUR I would recommend everyone  buying  HP Omen,hp omen desktop delivered defect appr 6 month repairing process able support omen hp anymore reparation loops issue tackled many times cancelled contract failed repairing process response hp omen really bad customer experience desktop 2500 eur would recommend everyone buying hp omen
