,review
0,"Yet another complaint about HP Smart Printer software.  It's not fit for purpose.  I've wasted days going around in circles with a printer that refuses to enable printing services until it is activated, however you can't obtain a pairing code to activate it.Eventually got through to HP support who said this printer has a dedicated team (that's a bad sign!) after a further 30 minutes on hold I eventually got through to someone who said everyone was busy and they'd call me back.  That was 2 days ago (and counting).  The printers are not fit for purpose and from the looks of it, they know it all too well but are burying their head in the sand.  HP are a discrace"
1,"HP MFP 4101fdwe DO NOT PURCHASEThis product does not connect to the HP Smart app, does not connect to the internet, and customer support has hung up on me over 10 times without answering my calls.  Edit: someone called me back and spoke to me over an hour, but did not solve my problem or offer any potential solutions.  Does not revise upward my rating."
2,2 Broken printers from manifacture. 5 hours of time wasted. The only offer refurbished printers to replace an existing one even if its a week old. Instant ink is also very poor.Sends a new one before the old has depleted and it could be half full. Aweful experieance an i am a computer tech.
3,"Following up from my last review, case was accelerated.  Contacted by customer service who were incredible. Great outcome despite the stressful days of trying to sort out my issue. New cartridge sent and arrived. Thank you"
4,"I have bought onsite support. My laptop will not start so I contacted HP support. They ordered a UPS pick-up, not onsite support. UPS arrived but did not have the collection box. They said they would be back, but 2 working days later and no UPS. I have since tried every option available on the HP website and support email and there is no way to contact them at all. I get a circular process that ends in no way to complain or communicate in any way. Complete rubbish support."
5,"Thanks for the hp desktop, Printer and hp laptop. I found it in budget price, easy to function, zero serviceability, good looking, compact, availability of cartridge, laptop is a good one."
6,"It is slow as hell .I mean I would've understand it if it wasn't working high functioning tools like ae or genshin impact or any other thing. But bro settings? Even settings is lagging and you think the laptop will work.I wanted to on the night light but whenever I'm touching the night light ,it is chosen but is not opening even the whole setting app is just froze"
7,"Bought a HP Envy X360 laptop in October 2021.  The laptop has had light useage and is still in the condition it was purchased (excellent) apart from the hinge that holds the screen on the base has broken.  Was told that it would cost £440 to fix the hinge as it is a ""premium"" product.  The cost was for ""premium"" parts.  Obvious not premium parts used in the first place as it isn't fit for purpose.  I would not recommend HP as their after sales service is pants.  Never had such a bad service for such a ""premium"" product (HP's words - not mine)."
8,Continous issues with printer since orignal purchase. multiple attempts for contact to resolve issue with no resolves. Waste of money and waste of time.
9,"My HP/ Omen desktop was delivered with a defect. After appr. 6 month of repairing process, I was not able to support Omen and HP anymore with further reparation loops (same issue was tackled many times...). I cancelled the contract after the failed repairing process, but until now no response from HP or Omen. Really bad customer experience for a desktop > 2.500 EUR ... I would recommend everyone not buying at HP / Omen"
10,"A few years ago I bought an hp printer HP Deskjet 3050A e-All-in-One Printer. Used a few times, still had the original packing paper. The Scanner stopped working, it showed some colored stripes and did not scan. I tried contacting support and never got any help. I will never buy anything from HP again. They lost a customer for life and I will do anything to let people know what HP is all about."
11,"I bought an HP Deskjet printer 3760 in June 2022 (still under warranty) and recently had cartridge problems with it. HP agreed to replace it.  I had a lengthy conversation with someone called Ahmed in HP Customer Care who insisted on inserting the incorrect flat number despite me insisting it was the wrong number.  My mobile number was also displayed without a zero in front as is normal nor did it display the country code.  Again Ahmed kept insisting that the UPS delivery driver would know which country he is calling etc. etc. and would call me before he got to my flat.  I thought this was fishy business as companies are particular about giving the correct address and phone numbers.   On the day of delivery, I happened to look out my window and saw a white van arrive.  The driver approached the block and I heard a doorbell which wasn't mine.  I went outside and it was UPS with my printer and it had the incorrect flat number on the label.  I have not opened the box because I saw a sticker saying it is a ""refurbished"" printer.  It stays unopened until HP can give me a new-for-new replacement.  I have again contacted HP Customer Care via email (Ahmed) but I have not received a reply.  Fishy business going on at HP."
12,"They stopped my printer function because i did not subscribe to their ink purchase. After a representative previously told me I had free ink for the life of the printer, repeatedly. CREEPY YUK!!"
13,"On Saturday 24th December 2022, Christmas Eve I purchased an HP Officejet Pro 9020e 4-in-1 Printer from eBay for $382 from eBay so I can print heaps of images to iron on shirts also I can use it for personal and business use."
14,I read so many of the one star reviews and must take issue.  These folks go over and above the line in terms of customer service assistance.  Not only do the techs do everything they can to assist with your Laptop/PC issues but they follow up the next day.  Who does that.  Additionally when you call you get someone immediately.  No 4 hour wait.  These folks are outstanding in every way.
15,It is a sign of our times that this truly awful company is still in business. Their printers are beyond awful. Hard to find words in the English language to describe the dysfunctional workings of hp printers. They are set up to entrap people into buying and using more ink. They are set up to be as complicated as possible. The leadership of this company should be in prison.
16,"They can't solve even a single issue. I have been trying to enroll into their instant ink, its been a month but they cant fix it and moreover they stopped responding cos their shift got over. Hilarious."
17,"UK Support Line. In response to Mike Gee's request for a UK support number, I have contacted UK tech support on 02076606027. That is I believe a direct line. Or a more general line 02076602664. I have only used this in relation to a printer, but give it a go. I don't contact them now, as my printer is out of warranty. Not paying money for a bunch of ..........."
18,"Dead loss as per other reviewers. HP+ is a blatant rip off, I clicked on it before realising what it entailed. Now Im locked into free ink for 6 months with  options for future ink supplies based on usage (which I dont want/need). Im also forced to only use genuine HP cartridges, I dont mind this so much but its just so annoying to be TOLD I must use them. No way of removing HP+ either, once activated- always activated. Their monthly deals are not ink based but print based, so if you want to cancel at any time the ink cartridges stop working immediately regardless of amount of ink remaining. Obviously the lessons learned from the demise of Black & Decker and Flymo etc have been ignored. Treat customers with contempt and they simply go elsewhere - I intend to do just that. Then I decided to give them one last chance and contacted HP Post Sales - you would think they were a different company. Problem solved to my complete satisfaction within 24 hours - give them a try if you are unhappy with HP, Im glad I did."
19,"Useless printer, you need the HP app to get to work, but this app steals all yours data and forces you to a subscription. First 6 months are free but after that you have to pay and it is impossible to stop the subscription.Next to that, the connection keeps failing, so the printer is unreliable"
20,"May 4, 2023Awful experienceAwful experience. Ordered a laptop worth £900 and it never arrived. Spoke to customer services in the end and had to cancel the order. Now have to wait for a refund which I am told will take weeks. Absolute disgraceful serviceDate of experience: April 26, 2023"
